,AVG,BEST,WORST,,,heuristic,,greedy,,,
16,,,,,,,,,,,
,756.4970454,680.60625,814.1699189,[ 29  48  82 123 148 177 217 247 276 313 343 362 394 431 462 499],[  9  57  82 123 155 179 209 240 273 305 343 362 395 426 459 485],673.2820901,"[2, 48, 123, 153, 177, 217, 247, 276, 313, 343, 362, 401, 431, 462, 499, 82]",930.4912328,,,-7.324159906
,763.782011,646.3771798,810.5300601,[ 27  36  94 123 151 187 207 247 275 304 341 368 400 430 454 485],[  6  62  92 118 143 172 218 246 259 310 341 374 396 430 454 498],733.9540571,"[23, 54, 125, 149, 179, 208, 246, 273, 305, 335, 361, 406, 434, 458, 492, 80]",1017.320269,,,87.57687727
,809.7371035,751.0372774,918.5948641,[  6  35  91 127 145 186 190 244 277 311 335 349 401 430 466 485],[  5  63  87 112 133 187 190 244 256 310 339 360 392 435 466 486],740.0427055,"[6, 52, 88, 127, 145, 189, 205, 244, 277, 335, 375, 401, 430, 466, 485, 306]",1194.696416,,,-10.99457193
,798.1042882,744.0479885,867.1869759,[  1  57  78 123 144 189 213 239 268 312 340 369 391 432 465 497],[  8  55  89 119 130 170 219 239 276 305 332 369 392 432 468 486],695.8395452,"[9, 63, 122, 146, 177, 213, 251, 268, 302, 340, 369, 391, 432, 465, 497, 81]",1189.403955,,,-48.20844325
,1808.920226,1755.590697,1853.58181,[  4  57  89 112 151 184 213 238 267 301 337 375 393 437 462 492],[  4  40  88 121 151 168 219 238 267 301 337 372 393 437 458 492],1775.201455,"[57, 89, 119, 151, 184, 213, 238, 267, 301, 337, 375, 393, 437, 468, 492, 4]",2207.151492,,,19.6107584
,715.817997,681.4004401,795.8181747,[  0  49  93 100 148 178 212 239 276 300 335 375 397 423 455 484],[  5  37  93 100 143 178 203 239 276 300 335 363 405 428 455 489],724.6364046,"[5, 52, 118, 148, 178, 212, 239, 276, 311, 335, 363, 397, 423, 455, 489, 92]",1329.393971,,,43.23596444
,1551.867461,1518.988664,1607.71705,[  8  35  76 123 134 185 211 245 259 289 319 348 384 434 453 485],[ 15  57  80 114 151 189 216 242 253 312 336 374 397 429 438 486],1333.131713,"[12, 55, 87, 124, 151, 210, 246, 280, 306, 333, 375, 391, 433, 453, 489, 178]",1596.281252,,,-185.8569508
,647.4901894,602.9564484,676.4343501,[ 25  52  94 123 156 186 213 251 268 310 333 361 396 434 465 495],[ 25  59  94 116 157 161 213 237 274 310 333 374 396 429 465 495],606.0503361,"[25, 52, 123, 156, 186, 205, 237, 274, 310, 333, 361, 403, 429, 465, 495, 94]",1043.172088,,,3.093887694
,798.8838172,658.8494966,927.1877744,[  3  33  92 120 148 184 208 237 281 304 343 373 398 426 464 498],[  0  51  81 114 156 172 211 243 281 307 341 375 396 433 461 475],552.1876086,"[21, 51, 81, 114, 154, 184, 208, 243, 281, 307, 369, 398, 433, 464, 495, 335]",961.2808275,,,-106.661888
